borrow_id,user_id,book_isbn,book_title,category,borrow_date,due_date,return_date,renew_count,library_branch
1,1,978-0-8054-9172-2,Business-focused radical knowledge user,K203,2024-11-16 00:00:00,2024-12-16 00:00:00,2024-12-19 00:00:00,0,主馆
2,2,978-0-582-80169-1,Cloned global function,O13,2024-09-07 00:00:00,2024-10-07 00:00:00,2024-10-15 00:00:00,2,主馆
3,2,978-1-00-967224-5,Reverse-engineered responsive knowledge user,I247.5,2024-11-01 00:00:00,2024-12-01 00:00:00,2024-11-30 00:00:00,2,主馆
4,2,978-0-270-00762-6,Polarized bottom-line product,K203,2024-12-12 00:00:00,2025-01-11 00:00:00,2025-01-08 00:00:00,0,主馆
5,2,978-1-114-00155-8,Pre-emptive multi-tasking Internet solution,O13,2024-10-02 00:00:00,2024-11-01 00:00:00,2024-11-08 00:00:00,2,主馆
6,3,978-1-155-18772-3,Re-contextualized background archive,I247.5,2024-11-20 00:00:00,2024-12-20 00:00:00,,0,主馆
7,4,978-1-112-07483-7,Networked leadingedge structure,H319.4,2024-12-02 00:00:00,2025-01-01 00:00:00,2025-01-08 00:00:00,2,主馆
8,4,978-0-19-085128-6,Organized tangible application,I247.5,2024-09-11 00:00:00,2024-10-11 00:00:00,,1,主馆
9,5,978-1-285-79988-9,Digitized client-driven hardware,I247.5,2024-10-23 00:00:00,2024-11-22 00:00:00,2024-11-29 00:00:00,2,主馆
10,6,978-1-74249-697-9,Exclusive zero-defect architecture,TP312,2024-12-07 00:00:00,2025-01-06 00:00:00,2025-01-03 00:00:00,0,主馆
11,8,978-0-10-297780-6,Networked methodical emulation,O13,2024-12-13 00:00:00,2025-01-12 00:00:00,,2,主馆
12,8,978-1-175-13067-9,Operative system-worthy model,K203,2024-11-11 00:00:00,2024-12-11 00:00:00,2024-12-20 00:00:00,0,主馆
13,10,978-1-234-68154-8,Reduced cohesive concept,H319.4,2024-11-29 00:00:00,2024-12-29 00:00:00,2024-12-25 00:00:00,1,主馆
14,10,978-1-86886-974-9,Automated interactive functionalities,I247.5,2024-12-10 00:00:00,2025-01-09 00:00:00,2025-01-04 00:00:00,0,主馆
15,11,978-1-78946-822-9,Horizontal discrete conglomeration,I247.5,2024-10-21 00:00:00,2024-11-20 00:00:00,2024-11-23 00:00:00,0,主馆
16,11,978-0-319-86957-4,Enhanced 3rdgeneration benchmark,O13,2024-09-19 00:00:00,2024-10-19 00:00:00,2024-10-27 00:00:00,2,主馆
17,11,978-1-992083-86-8,Universal bandwidth-monitored throughput,TP312,2024-09-14 00:00:00,2024-10-14 00:00:00,2024-10-23 00:00:00,0,主馆
18,11,978-1-57277-551-0,De-engineered regional paradigm,I247.5,2024-09-20 00:00:00,2024-10-20 00:00:00,2024-10-22 00:00:00,0,主馆
19,11,978-1-964310-05-3,Compatible discrete projection,O13,2024-12-09 00:00:00,2025-01-08 00:00:00,,2,主馆
20,11,978-0-18-792596-9,Cloned responsive pricing structure,H319.4,2024-12-06 00:00:00,2025-01-05 00:00:00,2025-01-12 00:00:00,1,主馆
21,12,978-0-360-36743-2,Object-based full-range challenge,K203,2024-12-14 00:00:00,2025-01-13 00:00:00,2025-01-12 00:00:00,2,主馆
22,12,978-0-09-288468-9,Stand-alone multi-state standardization,TP312,2024-09-19 00:00:00,2024-10-19 00:00:00,2024-10-23 00:00:00,1,主馆
23,13,978-1-68884-562-6,Fully-configurable object-oriented hub,H319.4,2024-12-05 00:00:00,2025-01-04 00:00:00,2025-01-12 00:00:00,0,主馆
24,13,978-1-139-35424-0,Cross-group foreground focus group,H319.4,2024-12-06 00:00:00,2025-01-05 00:00:00,2025-01-10 00:00:00,2,主馆
25,13,978-0-350-91900-9,Fully-configurable 3rdgeneration capability,TP312,2024-11-10 00:00:00,2024-12-10 00:00:00,2024-12-20 00:00:00,2,主馆
26,14,978-1-872056-35-7,Multi-lateral solution-oriented initiative,I247.5,2024-10-03 00:00:00,2024-11-02 00:00:00,2024-11-12 00:00:00,1,主馆
27,14,978-0-477-26425-9,Grass-roots analyzing intranet,K203,2024-11-04 00:00:00,2024-12-04 00:00:00,,0,主馆
28,14,978-0-434-67559-3,Diverse attitude-oriented approach,I247.5,2024-09-28 00:00:00,2024-10-28 00:00:00,2024-11-06 00:00:00,2,主馆
29,15,978-0-944722-36-7,Diverse incremental architecture,K203,2024-10-13 00:00:00,2024-11-12 00:00:00,2024-11-13 00:00:00,0,主馆
30,15,978-1-5191-5902-1,Business-focused fault-tolerant functionalities,H319.4,2024-11-14 00:00:00,2024-12-14 00:00:00,2024-12-15 00:00:00,0,主馆
31,16,978-1-79951-683-5,Multi-layered web-enabled capacity,K203,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-10-01 00:00:00,1,主馆
32,16,978-1-141-25916-8,Inverse solution-oriented productivity,H319.4,2024-12-07 00:00:00,2025-01-06 00:00:00,,0,主馆
33,17,978-0-505-71642-2,Vision-oriented incremental function,TP312,2024-11-24 00:00:00,2024-12-24 00:00:00,2024-12-28 00:00:00,1,主馆
34,17,978-0-558-30881-0,Ameliorated value-added throughput,I247.5,2024-11-26 00:00:00,2024-12-26 00:00:00,2024-12-30 00:00:00,1,主馆
35,17,978-0-695-42965-2,Implemented stable info-mediaries,O13,2024-11-05 00:00:00,2024-12-05 00:00:00,2024-12-09 00:00:00,2,主馆
36,17,978-0-223-50314-4,Multi-channeled dedicated application,O13,2024-09-26 00:00:00,2024-10-26 00:00:00,2024-11-04 00:00:00,1,主馆
37,18,978-1-917513-09-8,Total foreground website,TP312,2024-10-20 00:00:00,2024-11-19 00:00:00,,1,主馆
38,18,978-0-256-41344-1,Organic exuding adapter,H319.4,2024-10-12 00:00:00,2024-11-11 00:00:00,2024-11-19 00:00:00,0,主馆
39,19,978-1-293-95894-0,Streamlined national paradigm,TP312,2024-09-13 00:00:00,2024-10-13 00:00:00,2024-10-16 00:00:00,1,主馆
40,19,978-1-67118-407-7,Automated leadingedge workforce,I247.5,2024-12-15 00:00:00,2025-01-14 00:00:00,2025-01-13 00:00:00,1,主馆
41,20,978-1-871248-98-2,Fundamental maximized core,H319.4,2024-10-16 00:00:00,2024-11-15 00:00:00,2024-11-22 00:00:00,1,主馆
42,20,978-0-9781229-5-9,Visionary disintermediate neural-net,H319.4,2024-11-20 00:00:00,2024-12-20 00:00:00,2024-12-20 00:00:00,0,主馆
43,20,978-0-554-19783-8,Streamlined modular interface,I247.5,2024-09-09 00:00:00,2024-10-09 00:00:00,2024-10-04 00:00:00,2,主馆
44,20,978-0-628-19864-8,De-engineered modular capability,I247.5,2024-11-20 00:00:00,2024-12-20 00:00:00,2024-12-26 00:00:00,0,主馆
45,20,978-0-9564531-9-8,Business-focused encompassing portal,TP312,2024-09-07 00:00:00,2024-10-07 00:00:00,2024-10-14 00:00:00,0,主馆
46,20,978-1-4421-9959-0,Re-contextualized secondary capacity,O13,2024-11-11 00:00:00,2024-12-11 00:00:00,2024-12-08 00:00:00,0,主馆
47,21,978-0-01-303085-0,User-friendly human-resource flexibility,H319.4,2024-09-13 00:00:00,2024-10-13 00:00:00,2024-10-12 00:00:00,2,主馆
48,21,978-0-7997-8043-7,Synergized exuding knowledge user,O13,2024-11-10 00:00:00,2024-12-10 00:00:00,2024-12-10 00:00:00,2,主馆
49,22,978-0-536-10065-8,Realigned 5thgeneration pricing structure,I247.5,2024-09-02 00:00:00,2024-10-02 00:00:00,2024-10-04 00:00:00,2,主馆
50,22,978-0-7580-3997-2,Cross-group fresh-thinking matrix,O13,2024-10-18 00:00:00,2024-11-17 00:00:00,2024-11-23 00:00:00,1,主馆
51,23,978-1-4863-9783-9,Future-proofed didactic orchestration,O13,2024-12-14 00:00:00,2025-01-13 00:00:00,,0,主馆
52,23,978-1-887102-60-5,Right-sized fault-tolerant infrastructure,K203,2024-11-19 00:00:00,2024-12-19 00:00:00,2024-12-26 00:00:00,0,主馆
53,24,978-0-940105-20-1,Versatile solution-oriented middleware,I247.5,2024-11-03 00:00:00,2024-12-03 00:00:00,2024-12-10 00:00:00,0,主馆
